period,period_start_height,period_end_height,status,signal_blocks,elapsed_blocks
1,927360,929375,completed,0,2016
2,929376,931391,completed,0,2016
3,931392,933407,completed,0,2016
4,933408,935423,completed,0,2016
5,935424,937439,completed,0,2016
6,937440,939455,completed,1,2016
7,939456,941471,completed,0,2016
8,941472,943487,completed,3,2016
9,943488,945503,completed,2,2016
10,945504,947519,completed,0,2016
11,947520,949535,completed,0,2016
12,949536,951551,completed,7,2016
13,951552,953567,completed,16,2016
14,953568,955583,in_progress,1,296
15,955584,957599,future,0,0
16,957600,959615,future,0,0
17,959616,961631,future,0,0
18,961632,963647,future,0,0
19,,,post_window,0,0
20,,,post_window,0,0
