Date,Rank,Primary Key,Name,Symbol,Market Cap,Price,Circulating Supply,Snapshot Type,Is Stable
2026-06-13,1,BTCBitcoin,Bitcoin,BTC,1278681286123.0,63812.0,20042115.0,live,False
2026-06-13,2,ETHEthereum,Ethereum,ETH,201895668142.0,1673.31,120684237.8846127,live,False
2026-06-13,4,BNBBNB,BNB,BNB,81495367016.0,604.6,134783787.81,live,False
2026-06-13,6,XRPXRP,XRP,XRP,70975812853.0,1.14,62053900985.0,live,False
2026-06-13,7,SOLSolana,Solana,SOL,39076572407.0,67.39,579824186.2425175,live,False
2026-06-13,8,TRXTRON,TRON,TRX,29995842689.0,0.316307,94826790531.35329,live,False
2026-06-13,10,DOGEDogecoin,Dogecoin,DOGE,13488735025.0,0.087233,154642086383.7052,live,False
2026-06-13,11,HYPEHyperliquid,Hyperliquid,HYPE,12931816455.0,58.14,222445714.0741414,live,False
2026-06-13,15,ZECZcash,Zcash,ZEC,6867933497.0,409.5,16765254.8530448,live,False
2026-06-13,16,XLMStellar,Stellar,XLM,6433017862.0,0.190573,33763098724.7219,live,False
