category,item_or_series,tracker_type,denomination_btc,physical_format,series_or_variant,verified_sale_or_listing_date,date_precision,posted_price_btc,bulk_or_variant_price_btc,price_basis,evidence_status,notes,source_urls
Verified public posted price,1 BTC brass coin — Series 1 / Original 'CASACIUS' error,S1-COIN-1,1,Brass coin,Series 1 / Original CASACIUS error,2011-09-06,Launch-thread indexed date; first appeared September 2011,1.25 BTC each,1.20 BTC each up to 100 coins,Public launch-thread snippet / indexed record,Partially verified; original primary launch page not preserved in accessible sources from prior research,"Caldwell's FAQ says the original 1 BTC price was raised near the end of October 2011 after CNET coverage. Later 1 BTC order-form price on 2012-01-19 was 1.32 BTC, but that archived order form corresponds to the general 1 BTC product listing rather than necessarily the original error variety.",https://en.bitcoin.it/wiki/Casascius_physical_bitcoins; https://www.casascius.com/
Verified public posted price,1 BTC brass coin — Series 2 / windowed hologram,S2-COIN-1-2011;S2-COIN-1-2012,1,Brass coin,Series 2 / windowed hologram,2012-01-19,Archived Casascius order-form snapshot; Series first appeared November 2011,1.32 BTC each,100+ at 1.30 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form,First hard archived order-form price found for the Series 2-era 1 BTC product.,https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://en.bitcoin.it/wiki/Casascius_physical_bitcoins
Verified public posted price,5 BTC brass coin — 'Bitnickel',S1-COIN-5;S2-COIN-5,5,Brass coin,5 BTC Bitnickel,2012-01-19,Archived Casascius order-form snapshot; release reported January 2012,5.32 BTC each,100+ at 5.30 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form; secondary conflict noted,"Stack's/Bowers reports an issue price of 6 BTC for 5 BTC funded coins, but the 2012-01-19 archived order form shows 5.32 BTC each, so 5.32 BTC is the stronger dated primary-source price from prior research.",https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://stacksbowers.com/cryptocurrency/bitcoin-btc/
Verified public posted price,25 BTC gold-plated round,S1-COIN-25;S2-COIN-25,25,Gold-plated round,25 BTC round,2012-01-19,Archived Casascius order-form snapshot; first appeared October 2011,27.00 BTC each,5+ at 26.75 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form,"Caldwell's FAQ says the late-October 2011 price increase applied only to the original 1 BTC coin, not the 25 BTC coin.",https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://en.bitcoin.it/wiki/Casascius_physical_bitcoins
Verified public posted price,Value combo bundle — one 25 BTC coin + two 1 BTC coins,,27 total funded BTC,Bundle,One 25 BTC + two 1 BTC coins,2012-01-19,Archived Casascius order-form snapshot,29.00 BTC per bundle,,Archived Casascius.com order form,Verified from archived Caldwell order form,"Bundle item, not a separate coin series.",https://web.archive.org/web/20120119023109/https://www.casascius.com/
Verified public posted price,10 BTC 1 oz silver round — plain silver,S2-COIN-10,10,1 oz silver round,Plain silver,2012-01-19,Archived Casascius order-form snapshot; first available 2011-12-01,19.50 BTC each,,Archived Casascius.com order form,Verified from archived Caldwell order form,The same archived page separately listed a gold-logo variant.,https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://en.bitcoin.it/wiki/Casascius_physical_bitcoins
Verified public posted price,10 BTC 1 oz silver round — gold-plated Bitcoin logo,S2-COIN-10,10,1 oz silver round,Gold-plated Bitcoin logo,2012-01-19,Archived Casascius order-form snapshot,21.50 BTC each,,Archived Casascius.com order form,Verified from archived Caldwell order form,Separate listed variant from the plain 10 BTC silver round.,https://web.archive.org/web/20120119023109/https://www.casascius.com/
Verified public posted price,1000 BTC 1 oz fine gold round — 'Gold Cas',S1-COIN-1000,1000,1 oz fine gold round,Gold Cas,2012-01-19,Archived Casascius order-form snapshot; available as of 2011-12-16,1310.00 BTC each,,Archived Casascius.com order form,Verified from archived Caldwell order form,Clearest public Caldwell list price found for the 1000 BTC gold coin.,https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://en.bitcoin.it/wiki/Casascius_physical_bitcoins
Verified public posted price,100 BTC gold-plated savings bar,S1-BAR-100;S2-BAR-100,100,Gold-plated savings bar,100 BTC bar,2012-01-19,Archived Casascius order-form snapshot; listed as a new item,104.35 BTC each,5+ at 104.00 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form,Caldwell's current site confirms the savings bar was sold preloaded as 100 BTC and as a non-denominated bar.,https://web.archive.org/web/20120119023109/https://www.casascius.com/; https://www.casascius.com/
Verified public posted price,0 BTC non-denominated gold-plated bar,S2-BAR-DIY,0,Gold-plated bar,Non-denominated / unfunded bar,2012-01-19,Archived Casascius order-form snapshot,4.35 BTC each,5+ at 4.00 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form,"Not a funded BTC coin, but it was a Caldwell-sold Casascius product.",https://web.archive.org/web/20120119023109/https://www.casascius.com/
