address,grader,grade,grader link,auction sold date,auction sold amount,auction link
133RXZaTtyyDLCTCdyFHCW4TV2nH4xxj2K,NGC,MS66,https://www.ngccoin.com/certlookup/6842225-001/66/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/cryptocurrency-casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms66-ngc-/a/3118-32030.s?ic4=ListView-ShortDescription-071515
15eTzCSj3G5gngyFYeztApydy1xNyh4pz3,PCGS,MS64,https://www.pcgs.com/cert/49743472,"Aug 15, 2024","$4,080.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-demo-1-bitcoin-btc-2011-ms64-pcgs-/a/3118-32001.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115#
1NSNKCP2ZRT9Si3FHTQKCicVvb73MYVJdn,NGC,MS67,https://www.ngccoin.com/certlookup/8209194-003/67/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms67-ngc-/a/3118-32002.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115#
19MyvLp3LJi1n2p7jqtXnqENnvAZkQmgwT,NGC,MS66,https://www.ngccoin.com/certlookup/8209193-003/66/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms66-ngc-/a/3118-32003.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1A2Qg7aB5onNcWXxxxmTcUYUDZp4mtZVCU,NGC,MS64,https://www.ngccoin.com/certlookup/8209195-003/64/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms64-ngc-/a/3118-32005.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CAYauRpiQsUDpjXCUmkNMuHyUcW7Rdz6A,NGC,MS64,https://www.ngccoin.com/certlookup/8209226-002/64/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms64-ngc-/a/3118-32010.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CCJGmuSrkrhdpCSLy28cQ6H355bbMMs1T,NGC,MS68,https://www.ngccoin.com/certlookup/8209223-001/68/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2012-ms68-ngc-/a/3118-32015.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1NsoMVryU79SdNw8WpYRL6yEvKTRnaAptD,NGC,MS65,https://www.ngccoin.com/certlookup/8209195-001/65/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms65-ngc-/a/3118-32004.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
15t3EKsUPfFFHk8MJpccKCL6BfDy9nRSSN,NGC,MS63,https://www.ngccoin.com/certlookup/8209193-001/63/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms63-ngc-/a/3118-32006.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Ca4ucGRoMGyEPYWmdUjxFmHSD9iYQMauW,PCGS,MS65,https://www.pcgs.com/cert/49748396,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms65-pcgs-/a/3118-32009.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CagQYVB6BzCtapQqYLjqPtoRrTE5SXxxU,PCGS,MS63,https://www.pcgs.com/cert/49746664,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms63-pcgs-/a/3118-32011.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CcGTR7o2H2p1u4oZi9MyvvYdViKT4pqdd,PCGS,MS66,https://www.pcgs.com/cert/49748397,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms66-pcgs-/a/3118-32008.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1GCufn8uEWqnTRXAbwiaxzdkvCHFSwytqT,PCGS,Genuine,https://www.pcgs.com/cert/49743279,"Aug 15, 2024","$180,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-gold-plated-brass-storage-bar-bearer-bar-loaded-unredeemed-3-bitcoin-btc-2011-genuine-pcgs-/a/3118-32012.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1QBWPrTPz5EZ23KLCDAtRf2HGjH89ZLw1K,PCGS,MS63,https://www.pcgs.com/cert/49743470,"Aug 15, 2024","$4,800.00",https://coins.ha.com/itm/cryptocurrency/casascius-gilt-brass-unloaded-redeemed-25-bitcoin-btc-2011-ms63-pcgs-/a/3118-32013.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
