date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2011-06-05,2011-06-05 23:50:00+00:00,16.6750000000,128873,5473,53.6270006816,53.8586117139,55.9119661443
2011-06-06,2011-06-06 23:50:00+00:00,18.3714142857,129109,5472,53.6487269654,53.8586117139,55.9119661443
2011-06-07,2011-06-07 23:50:00+00:00,23.3969883721,129276,5471,53.6675633724,53.8586117139,55.9119661443
2011-06-08,2011-06-08 23:50:00+00:00,29.6408538462,129465,5470,53.6802599887,53.8586117139,55.9119661443
2011-06-09,2011-06-09 23:50:00+00:00,28.9407000000,129686,5469,53.6882216578,53.8586117139,55.9119661443
2011-06-10,2011-06-10 23:50:00+00:00,23.8617411765,129909,5468,53.6966189858,53.8586117139,55.9119661443
2011-06-11,2011-06-11 23:50:00+00:00,14.6512000000,130162,5467,53.7089024067,53.8586117139,55.9119661443
2011-06-12,2011-06-12 23:50:00+00:00,18.7195900000,130392,5466,53.7351096903,53.8586117139,55.9119661443
2011-06-13,2011-06-13 23:50:00+00:00,19.4092722222,130621,5465,53.7535081256,53.8586117139,55.9119661443
2011-06-14,2011-06-14 23:50:00+00:00,19.3205642857,130867,5464,53.7709214382,53.8586117139,55.9119661443
2011-06-15,2011-06-15 23:50:00+00:00,19.4900000000,131146,5463,53.7884776970,53.8586117139,55.9119661443
2011-06-16,2011-06-16 23:50:00+00:00,17.3638180000,131327,5462,53.8058133622,53.8586117139,55.9119661443
2011-06-17,2011-06-17 23:50:00+00:00,15.8340642857,131513,5461,53.8264995701,53.9454432632,55.9119661443
2011-06-18,2011-06-18 23:50:00+00:00,16.8766666667,131711,5460,53.8501641673,53.9454432632,55.9119661443
2011-06-19,2011-06-19 23:50:00+00:00,17.4054672725,131932,5459,53.8717839899,53.9454432632,55.9119661443
2011-06-20,2011-06-20 23:50:00+00:00,17.4795582705,132166,5458,53.8924711454,53.9454432632,55.9119661443
2011-06-21,2011-06-21 23:50:00+00:00,17.8504829728,132419,5457,53.9130520724,53.9454432632,55.9119661443
2011-06-22,2011-06-22 23:50:00+00:00,17.9062871149,132680,5456,53.9330224874,53.9454432632,55.9119661443
2011-06-23,2011-06-23 23:50:00+00:00,18.1683975970,132920,5455,53.9529218690,53.9454432632,55.9119661443
