days_ago,years_ago,date_iso,timestamp_utc,block_height,historical_price,current_price,dca_basis,invested_usd,btc_accum,purchase_count,is_price_above,window_end_timestamp_utc
5502,15.0636550308,2011-06-05,2011-06-05 23:50:00,128873,16.6750000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5501,15.0609171800,2011-06-06,2011-06-06 23:50:00,129109,18.3714142857,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5500,15.0581793292,2011-06-07,2011-06-07 23:50:00,129276,23.3969883721,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5499,15.0554414784,2011-06-08,2011-06-08 23:50:00,129465,29.6408538462,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5498,15.0527036277,2011-06-09,2011-06-09 23:50:00,129686,28.9407000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5497,15.0499657769,2011-06-10,2011-06-10 23:50:00,129909,23.8617411765,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5496,15.0472279261,2011-06-11,2011-06-11 23:50:00,130162,14.6512000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5495,15.0444900753,2011-06-12,2011-06-12 23:50:00,130392,18.7195900000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5494,15.0417522245,2011-06-13,2011-06-13 23:50:00,130621,19.4092722222,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5493,15.0390143737,2011-06-14,2011-06-14 23:50:00,130867,19.3205642857,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5492,15.0362765229,2011-06-15,2011-06-15 23:50:00,131146,19.4900000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5491,15.0335386721,2011-06-16,2011-06-16 23:50:00,131327,17.3638180000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5490,15.0308008214,2011-06-17,2011-06-17 23:50:00,131513,15.8340642857,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5489,15.0280629706,2011-06-18,2011-06-18 23:50:00,131711,16.8766666667,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5488,15.0253251198,2011-06-19,2011-06-19 23:50:00,131932,17.4054672725,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5487,15.0225872690,2011-06-20,2011-06-20 23:50:00,132166,17.4795582705,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5486,15.0198494182,2011-06-21,2011-06-21 23:50:00,132419,17.8504829728,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5485,15.0171115674,2011-06-22,2011-06-22 23:50:00,132680,17.9062871149,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5484,15.0143737166,2011-06-23,2011-06-23 23:50:00,132920,18.1683975970,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5483,15.0116358658,2011-06-24,2011-06-24 23:50:00,133135,18.5853960600,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5482,15.0088980151,2011-06-25,2011-06-25 23:50:00,133280,17.9432756423,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5481,15.0061601643,2011-06-26,2011-06-26 23:50:00,133429,16.3664385714,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5480,15.0034223135,2011-06-27,2011-06-27 23:50:00,133598,16.7500666667,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5479,15.0006844627,2011-06-28,2011-06-28 23:50:00,133757,16.9430025000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5478,14.9979466119,2011-06-29,2011-06-29 23:50:00,133928,16.8998333333,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5477,14.9952087611,2011-06-30,2011-06-30 23:50:00,134121,16.1535981250,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5476,14.9924709103,2011-07-01,2011-07-01 23:50:00,134292,15.3633281818,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5475,14.9897330595,2011-07-02,2011-07-02 23:50:00,134462,15.4000000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5474,14.9869952088,2011-07-03,2011-07-03 23:50:00,134626,15.4403966667,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5473,14.9842573580,2011-07-04,2011-07-04 23:50:00,134798,13.8200560000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5472,14.9815195072,2011-07-05,2011-07-05 23:50:00,134936,12.8868056250,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5471,14.9787816564,2011-07-06,2011-07-06 23:50:00,135091,14.7670711111,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5470,14.9760438056,2011-07-07,2011-07-07 23:50:00,135225,14.7700784615,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5469,14.9733059548,2011-07-08,2011-07-08 23:50:00,135390,14.3137700000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5468,14.9705681040,2011-07-09,2011-07-09 23:50:00,135537,14.3775000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5467,14.9678302533,2011-07-10,2011-07-10 23:50:00,135676,14.7473900000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5466,14.9650924025,2011-07-11,2011-07-11 23:50:00,135832,14.2109984211,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5465,14.9623545517,2011-07-12,2011-07-12 23:50:00,135973,14.0164816667,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5464,14.9596167009,2011-07-13,2011-07-13 23:50:00,136163,13.9542942857,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5463,14.9568788501,2011-07-14,2011-07-14 23:50:00,136309,13.9978090000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5462,14.9541409993,2011-07-15,2011-07-15 23:50:00,136471,13.8100000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5461,14.9514031485,2011-07-16,2011-07-16 23:50:00,136625,13.7190485714,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5460,14.9486652977,2011-07-17,2011-07-17 23:50:00,136796,13.1679187500,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5459,14.9459274470,2011-07-18,2011-07-18 23:50:00,136968,13.4230714815,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5458,14.9431895962,2011-07-19,2011-07-19 23:50:00,137107,13.8419937500,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5457,14.9404517454,2011-07-20,2011-07-20 23:50:00,137257,13.6931348485,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5456,14.9377138946,2011-07-21,2011-07-21 23:50:00,137410,13.6121040000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5455,14.9349760438,2011-07-22,2011-07-22 23:50:00,137562,13.6954200000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5454,14.9322381930,2011-07-23,2011-07-23 23:50:00,137708,13.6800000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5453,14.9295003422,2011-07-24,2011-07-24 23:50:00,137874,13.9800100000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5452,14.9267624914,2011-07-25,2011-07-25 23:50:00,138039,14.0026000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5451,14.9240246407,2011-07-26,2011-07-26 23:50:00,138214,13.8811700000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5450,14.9212867899,2011-07-27,2011-07-27 23:50:00,138387,13.9076000000,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5449,14.9185489391,2011-07-28,2011-07-28 23:50:00,138542,13.4819066667,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5448,14.9158110883,2011-07-29,2011-07-29 23:50:00,138708,13.5143963636,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5447,14.9130732375,2011-07-30,2011-07-30 23:50:00,138859,13.5328131579,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5446,14.9103353867,2011-07-31,2011-07-31 23:50:00,139033,13.3798933333,60129.2000000000,56.2240776890,180.0000000000,3.2014753714,180,1,2026-06-28 02:00:00
5445,14.9075975359,2011-08-01,2011-08-01 23:50:00,139200,13.0956020000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5444,14.9048596851,2011-08-02,2011-08-02 23:50:00,139354,12.0600190000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5443,14.9021218344,2011-08-03,2011-08-03 23:50:00,139509,9.2600500000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5442,14.8993839836,2011-08-04,2011-08-04 23:50:00,139639,10.7436633333,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5441,14.8966461328,2011-08-05,2011-08-05 23:50:00,139780,9.7726675000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5440,14.8939082820,2011-08-06,2011-08-06 23:50:00,139901,6.5112754545,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5439,14.8911704312,2011-08-07,2011-08-07 23:50:00,140026,8.1662882927,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5438,14.8884325804,2011-08-08,2011-08-08 23:50:00,140163,7.8298550000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5437,14.8856947296,2011-08-09,2011-08-09 23:50:00,140310,9.7488606897,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5436,14.8829568789,2011-08-10,2011-08-10 23:50:00,140461,10.0146862500,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5435,14.8802190281,2011-08-11,2011-08-11 23:50:00,140597,9.4562400000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5434,14.8774811773,2011-08-12,2011-08-12 23:50:00,140726,9.4603400000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5433,14.8747433265,2011-08-13,2011-08-13 23:50:00,140860,10.1233396552,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5432,14.8720054757,2011-08-14,2011-08-14 23:50:00,140992,10.7442646154,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5431,14.8692676249,2011-08-15,2011-08-15 23:50:00,141121,11.1381360000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5430,14.8665297741,2011-08-16,2011-08-16 23:50:00,141266,10.9589550000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5429,14.8637919233,2011-08-17,2011-08-17 23:50:00,141401,10.9930666667,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5428,14.8610540726,2011-08-18,2011-08-18 23:50:00,141548,10.8470176923,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5427,14.8583162218,2011-08-19,2011-08-19 23:50:00,141679,11.6500000000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5426,14.8555783710,2011-08-20,2011-08-20 23:50:00,141828,11.4509980000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5425,14.8528405202,2011-08-21,2011-08-21 23:50:00,141987,11.3232120000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5424,14.8501026694,2011-08-22,2011-08-22 23:50:00,142159,10.9407647368,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5423,14.8473648186,2011-08-23,2011-08-23 23:50:00,142314,10.9274070000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5422,14.8446269678,2011-08-24,2011-08-24 23:50:00,142448,10.8506000000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5421,14.8418891170,2011-08-25,2011-08-25 23:50:00,142584,9.6841397101,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5420,14.8391512663,2011-08-26,2011-08-26 23:50:00,142731,8.1791894444,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
5419,14.8364134155,2011-08-27,2011-08-27 23:50:00,142853,8.5902000000,60129.2000000000,57.0720694057,179.0000000000,3.1363853083,179,1,2026-06-28 02:00:00
