software,main_version,sub_version,listening,est_unreachable,total_count,percent
BIP110,v29,v29.3.0,50,2037,2087,1.7659203601225228
BIP110,v29,v29.2.0,16,614,630,0.5330761029598416
BIP110,unknown,unknown,0,6,6,0.005076915266284206
Bitcoin Core,v27,v27.0.0,685,20252,20937,17.715895821698734
Bitcoin Core,v31,v31.0.0,979,15998,16977,14.36513174595116
Bitcoin Core,v28,v28.1.0,484,6951,7435,6.291144167470511
Bitcoin Core,v30,v30.2.0,276,4832,5108,4.322147196696621
Bitcoin Core,v31,v31.1.0,444,4416,4860,4.1123013656902065
Bitcoin Core,v30,v30.0.0,169,4329,4498,3.805994144624393
Bitcoin Core,v29,v29.2.0,88,4048,4136,3.4996869235585795
Bitcoin Core,v29,v29.0.0,149,3416,3565,3.016533820717199
Bitcoin Core,v29,v29.3.0,42,3450,3492,2.9547646849774076
Bitcoin Core,v27,v27.1.0,83,2562,2645,2.238073479886954
Bitcoin Core,v28,v28.0.0,87,2556,2643,2.2363811747981925
Bitcoin Core,v29,v29.1.0,65,2329,2394,2.025689191247398
Bitcoin Core,v22,v22.0.0,51,2050,2101,1.7777664957438526
Bitcoin Core,v26,v26.0.0,50,1812,1862,1.575536037636865
Bitcoin Core,v25,v25.0.0,61,1757,1818,1.5383053256841144
Bitcoin Core,v25,v25.1.0,274,745,1019,0.8622294427239342
Bitcoin Core,v27,v27.2.0,17,864,881,0.7454603915993976
Bitcoin Core,v24,v24.0.1,38,707,745,0.6303836455636223
Bitcoin Core,v26,v26.2.0,14,684,698,0.5906144759777293
Bitcoin Core,v26,v26.1.0,6,652,658,0.5567683742025012
Bitcoin Core,v0.21,v0.21.1,16,572,588,0.49753769609585213
Bitcoin Core,v23,v23.0.0,16,452,468,0.39599939077016805
Bitcoin Core,v29,v29.4.0,17,252,269,0.22761503443840858
Bitcoin Core,v28,v28.4.0,13,187,200,0.1692305088761402
Bitcoin Core,v31,v31.99.0,26,141,167,0.14130747491157705
Bitcoin Core,v0.20,v0.20.1,6,126,132,0.11169213585825254
Bitcoin Core,v0.21,v0.21.0,4,113,117,0.09899984769254201
Bitcoin Core,v0.0,v0.0.156,0,94,94,0.07953833917178589
Bitcoin Core,v0.7,v0.7.2,0,76,76,0.06430759337293326
Bitcoin Core,v27,v27.99.0,17,55,72,0.060922983195410466
Bitcoin Core,v0.1,v0.1.17,0,65,65,0.054999915384745565
Bitcoin Core,v0.20,v0.20.0,2,61,63,0.05330761029598416
Bitcoin Core,v28,v28.2.0,3,51,54,0.04569223739655785
Bitcoin Core,v0.18,v0.18.0,5,48,53,0.04484608485217715
Bitcoin Core,v0.15,v0.15.0,0,50,50,0.04230762721903505
Bitcoin Core,v28,v28.3.0,7,42,49,0.041461474674654344
Bitcoin Core,v0.14,v0.14.2,1,47,48,0.04061532213027365
Bitcoin Core,v0.17,v0.17.1,5,35,40,0.03384610177522804
Bitcoin Core,v0.19,v0.19.0,2,33,35,0.029615339053324533
Bitcoin Core,v0.19,v0.19.1,1,33,34,0.02876918650894383
Bitcoin Core,v30,v30.3.0,8,26,34,0.02876918650894383
Bitcoin Core,v0.16,v0.16.1,0,33,33,0.027923033964563134
Bitcoin Core,v22,v22.1.0,2,31,33,0.027923033964563134
Bitcoin Core,v0.12,v0.12.1,4,26,30,0.02538457633142103
Bitcoin Core,v0.15,v0.15.1,2,28,30,0.02538457633142103
Bitcoin Core,v0.17,v0.17.0,3,27,30,0.02538457633142103
Bitcoin Core,v25,v25.2.0,5,25,30,0.02538457633142103
Bitcoin Core,v28,v28.99.0,4,24,28,0.023692271242659626
Bitcoin Core,v30,v30.99.0,5,22,27,0.022846118698278926
Bitcoin Core,v30,v30.1.0,4,22,26,0.021999966153898223
Bitcoin Core,v0.18,v0.18.1,3,22,25,0.021153813609517524
Bitcoin Core,v0.8,v0.8.6,2,23,25,0.021153813609517524
Bitcoin Core,v24,v24.1.0,2,23,25,0.021153813609517524
Bitcoin Core,v24,v24.0.0,2,21,23,0.01946150852075612
Bitcoin Core,v0.16,v0.16.0,0,21,21,0.017769203431994722
Bitcoin Core,v29,v29.99.0,2,18,20,0.01692305088761402
Bitcoin Core,v0.8,v0.8.5,1,17,18,0.015230745798852616
Bitcoin Core,v25,v25.99.0,5,13,18,0.015230745798852616
Bitcoin Core,v0.16,v0.16.3,0,16,16,0.013538440710091216
Bitcoin Core,v26,v26.99.0,1,15,16,0.013538440710091216
Bitcoin Core,v0.12,v0.12.0,0,15,15,0.012692288165710514
Bitcoin Core,v23,v23.1.0,2,13,15,0.012692288165710514
Bitcoin Core,v0.8,v0.8.3,0,14,14,0.011846135621329813
Bitcoin Core,v0.11,v0.11.2,1,12,13,0.010999983076949112
Bitcoin Core,v0.13,v0.13.2,0,13,13,0.010999983076949112
Bitcoin Core,v0.14,v0.14.1,0,13,13,0.010999983076949112
Bitcoin Core,v24,v24.2.0,2,11,13,0.010999983076949112
Bitcoin Core,v24,v24.99.0,3,10,13,0.010999983076949112
Bitcoin Core,v0.21,v0.21.2,4,8,12,0.010153830532568412
Bitcoin Core,v0.8,v0.8.2,0,12,12,0.010153830532568412
Bitcoin Core,v0.13,v0.13.1,0,11,11,0.00930767798818771
Bitcoin Core,v0.15,v0.15.99,1,10,11,0.00930767798818771
Bitcoin Core,v0.7,v0.7.0,0,11,11,0.00930767798818771
Bitcoin Core,v0.9,v0.9.1,0,11,11,0.00930767798818771
Bitcoin Core,v0.9,v0.9.3,0,11,11,0.00930767798818771
Bitcoin Core,v0.16,v0.16.2,1,9,10,0.00846152544380701
Bitcoin Core,v0.9,v0.9.2,0,10,10,0.00846152544380701
Bitcoin Core,v0.13,v0.13.0,0,9,9,0.007615372899426308
Bitcoin Core,v0.11,v0.11.0,0,8,8,0.006769220355045608
Bitcoin Core,v0.8,v0.8.0,0,8,8,0.006769220355045608
Bitcoin Core,v0.10,v0.10.0,0,7,7,0.0059230678106649065
Bitcoin Core,v0.16,v0.16.99,0,7,7,0.0059230678106649065
Bitcoin Core,v0.17,v0.17.2,2,5,7,0.0059230678106649065
Bitcoin Core,v0.20,v0.20.2,2,5,7,0.0059230678106649065
Bitcoin Core,v1,v1.0.5,0,7,7,0.0059230678106649065
Bitcoin Core,v21,v21.99.0,0,7,7,0.0059230678106649065
Bitcoin Core,v23,v23.99.0,1,6,7,0.0059230678106649065
Bitcoin Core,v0.10,v0.10.1,0,6,6,0.005076915266284206
Bitcoin Core,v0.14,v0.14.0,0,6,6,0.005076915266284206
Bitcoin Core,v0.10,v0.10.2,0,5,5,0.004230762721903505
Bitcoin Core,v0.8,v0.8.1,0,5,5,0.004230762721903505
Bitcoin Core,v22,v22.99.0,0,5,5,0.004230762721903505
Bitcoin Core,v0.11,v0.11.1,0,4,4,0.003384610177522804
Bitcoin Core,v0.15,v0.15.2,0,4,4,0.003384610177522804
Bitcoin Core,v0.0,v0.0.126,0,3,3,0.002538457633142103
Bitcoin Core,v0.14,v0.14.3,0,3,3,0.002538457633142103
Bitcoin Core,v0.14,v0.14.99,0,2,2,0.001692305088761402
Bitcoin Core,v0.9,v0.9.5,0,2,2,0.001692305088761402
Bitcoin Core,v1,v1.0.0,1,1,2,0.001692305088761402
Bitcoin Core,v23,v23.2.0,0,2,2,0.001692305088761402
Bitcoin Core,unknown,unknown,0,1,1,0.000846152544380701
Bitcoin Core,v0.0,v0.0.125,0,1,1,0.000846152544380701
Bitcoin Core,v0.1,v0.1.0,0,1,1,0.000846152544380701
Bitcoin Core,v0.10,v0.10.4,0,1,1,0.000846152544380701
Bitcoin Core,v0.19,v0.19.99,0,1,1,0.000846152544380701
Bitcoin Core,v0.9,v0.9.0,0,1,1,0.000846152544380701
Bitcoin Knots,v29,v29.3.0,654,18104,18758,15.87212942749319
Bitcoin Knots,v29,v29.2.0,73,1884,1957,1.655920529353032
Bitcoin Knots,v28,v28.1.0,48,1191,1239,1.0483830024876886
Bitcoin Knots,v29,v29.1.0,28,603,631,0.5339222555042223
Bitcoin Knots,v29,v29.4.0,69,435,504,0.4264608823678733
Bitcoin Knots,v27,v27.1.0,2,8,10,0.00846152544380701
Bitcoin Knots,v0.15,v0.15.0,0,7,7,0.0059230678106649065
Bitcoin Knots,v0.14,v0.14.2,0,5,5,0.004230762721903505
Bitcoin Knots,v23,v23.0.0,0,3,3,0.002538457633142103
Bitcoin Knots,v0.15,v0.15.1,0,2,2,0.001692305088761402
Bitcoin Knots,v22,v22.0.0,0,2,2,0.001692305088761402
Bitcoin Knots,v0.14,v0.14.1,0,1,1,0.000846152544380701
Bitcoin Knots,v0.21,v0.21.0,0,1,1,0.000846152544380701
Bitcoin Knots,v21,v21.2.0,0,1,1,0.000846152544380701
Bitcoin Knots,v25,v25.1.0,0,1,1,0.000846152544380701
Bitcoin Knots,v31,v31.0.0,1,0,1,0.000846152544380701
other,unknown,unknown,26,318,344,0.2910764752669611
other,v30,v30,1,0,1,0.000846152544380701
