ua,software,main_version,sub_version,listening,est_unreachable,total_count
/Satoshi:29.3.0/Knots:20260210+bip110-v0.4.1/UASF-BIP110:0.4/,BIP110,v29,v29.3.0,60,1973,2033
/Satoshi:29.0.0/,Bitcoin Core,v29,v29.0.0,229,3013,3242
/Satoshi:29.3.0/Knots:20260508/,Bitcoin Knots,v29,v29.3.0,344,6419,6763
/Satoshi:27.1.0/,Bitcoin Core,v27,v27.1.0,102,1888,1990
/Satoshi:0.16.1/,Bitcoin Core,v0.16,v0.16.1,0,58,58
/Satoshi:28.1.0/,Bitcoin Core,v28,v28.1.0,680,7109,7789
/Satoshi:29.2.0/,Bitcoin Core,v29,v29.2.0,102,2469,2571
/Satoshi:30.2.0/,Bitcoin Core,v30,v30.2.0,475,6523,6998
/Satoshi:29.1.0/Knots:20250903/,Bitcoin Knots,v29,v29.1.0,45,646,691
/Satoshi:29.3.0/Knots:20260210/,Bitcoin Knots,v29,v29.3.0,111,2731,2842
/Satoshi:29.3.0/,Bitcoin Core,v29,v29.3.0,53,2167,2220
/Satoshi:28.1.0/Knots:20250305/,Bitcoin Knots,v28,v28.1.0,68,1259,1327
/Satoshi:25.0.0/,Bitcoin Core,v25,v25.0.0,77,1650,1727
/Satoshi:31.0.0/,Bitcoin Core,v31,v31.0.0,892,11148,12040
/Satoshi:30.0.0/,Bitcoin Core,v30,v30.0.0,292,4213,4505
/Satoshi:24.0.1/,Bitcoin Core,v24,v24.0.1,62,947,1009
/Satoshi:29.2.0/Knots:20251110/,Bitcoin Knots,v29,v29.2.0,104,1732,1836
/Satoshi:29.3.0/Knots:20260210+bip110-v0.3/UASF-BIP110:0.1/,BIP110,v29,v29.3.0,30,1712,1742
/Satoshi:29.1.0/,Bitcoin Core,v29,v29.1.0,88,3144,3232
/Satoshi:0.14.0/,Bitcoin Core,v0.14,v0.14.0,0,7,7
/Satoshi:22.0.0/,Bitcoin Core,v22,v22.0.0,64,1693,1757
/Satoshi:27.0.0/,Bitcoin Core,v27,v27.0.0,802,13991,14793
/Satoshi:0.20.1/,Bitcoin Core,v0.20,v0.20.1,6,123,129
/Satoshi:0.19.1/,Bitcoin Core,v0.19,v0.19.1,2,47,49
/Satoshi:25.1.0/,Bitcoin Core,v25,v25.1.0,341,913,1254
/Satoshi:29.2.0/Knots:20251110+bip110-v0.1rc3/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,26,459,485
/Satoshi:29.2.0/Knots:20251010/,Bitcoin Knots,v29,v29.2.0,23,428,451
/Satoshi:28.0.0/,Bitcoin Core,v28,v28.0.0,106,1585,1691
/Satoshi:29.2.0/Knots:20251110+bip110-v0.1/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,21,463,484
/Satoshi:26.0.0/,Bitcoin Core,v26,v26.0.0,70,1213,1283
/Satoshi:27.2.0/,Bitcoin Core,v27,v27.2.0,17,209,226
/Satoshi:26.99.0/,Bitcoin Core,v26,v26.99.0,1,17,18
/Satoshi:28.3.0/,Bitcoin Core,v28,v28.3.0,8,50,58
/btcwire:0.5.0/neutrino:0.12.0-beta/,btcsuite,,,0,105,105
/Satoshi:24.1.0/,Bitcoin Core,v24,v24.1.0,3,29,32
/Satoshi:0.18.0/,Bitcoin Core,v0.18,v0.18.0,5,71,76
/Satoshi:0.17.1/,Bitcoin Core,v0.17,v0.17.1,4,36,40
/Satoshi:27.99.0/,Bitcoin Core,v27,v27.99.0,1,32,33
/Satoshi:0.12.1/,Bitcoin Core,v0.12,v0.12.1,4,40,44
/Satoshi:23.0.0/,Bitcoin Core,v23,v23.0.0,21,356,377
/Satoshi:0.21.0/,Bitcoin Core,v0.21,v0.21.0,5,120,125
/Satoshi:23.2.0/,Bitcoin Core,v23,v23.2.0,0,6,6
/Satoshi:0.13.2/,Bitcoin Core,v0.13,v0.13.2,0,9,9
/Satoshi:28.4.0/,Bitcoin Core,v28,v28.4.0,13,35,48
/btcwire:0.5.0/btcd:0.23.3/,btcsuite,,,0,11,11
/Satoshi:28.99.0/,Bitcoin Core,v28,v28.99.0,2,25,27
/Satoshi:0.21.1/,Bitcoin Core,v0.21,v0.21.1,24,487,511
/Satoshi:29.99.0/,Bitcoin Core,v29,v29.99.0,8,22,30
/Satoshi:0.1.17.128/,Bitcoin Core,v0.1,v0.1.17,0,88,88
/Satoshi:0.15.2/,Bitcoin Core,v0.15,v0.15.2,0,4,4
/Satoshi:0.18.1/,Bitcoin Core,v0.18,v0.18.1,5,42,47
/Satoshi:0.20.0/,Bitcoin Core,v0.20,v0.20.0,1,74,75
/Satoshi:30.99.0/,Bitcoin Core,v30,v30.99.0,10,62,72
/Satoshi:29.3.0/Knots:20260210/UASF-BIP110:0.4/,BIP110,v29,v29.3.0,4,74,78
/Satoshi:29.2.0/Knots:20251110/UASF-BIP110:0.1/,BIP110,v29,v29.2.0,0,97,97
/Satoshi:0.19.0.1/,Bitcoin Core,v0.19,v0.19.0,3,39,42
/Satoshi:0.21.2/,Bitcoin Core,v0.21,v0.21.2,3,10,13
/Satoshi:0.17.0.1/,Bitcoin Core,v0.17,v0.17.0,2,13,15
/Satoshi:29.3.0/Knots:20260210+bip110-v0.3/UASF-BIP110:0.1/RUG THE SPAMMERS/,BIP110,v29,v29.3.0,0,3,3
/Satoshi:0.7.2/,Bitcoin Core,v0.7,v0.7.2,0,84,84
/Satoshi:28.2.0/,Bitcoin Core,v28,v28.2.0,7,49,56
/Bither1.6.1/,Bither,,,0,17,17
/Bither1.6.2/,Bither,,,0,28,28
/Satoshi:22.1.0/,Bitcoin Core,v22,v22.1.0,2,28,30
/Satoshi:0.15.1/,Bitcoin Core,v0.15,v0.15.1,1,42,43
/ckp2p:1.0/,other,,,3,4,7
/Satoshi:26.2.0/,Bitcoin Core,v26,v26.2.0,19,144,163
/Satoshi:24.0.0/,Bitcoin Core,v24,v24.0.0,2,23,25
/Satoshi:0.16.2/,Bitcoin Core,v0.16,v0.16.2,1,14,15
/Satoshi:29.3.0/UASF-BIP110:0.1/,BIP110,v29,v29.3.0,0,1,1
/GrayersDad:05.08.2026+RDTS /,other,,,2,1,3
/Satoshi:26.1.0/,Bitcoin Core,v26,v26.1.0,7,168,175
/Satoshi:25.2.0/,Bitcoin Core,v25,v25.2.0,5,30,35
/Satoshi:0.13.1/,Bitcoin Core,v0.13,v0.13.1,1,8,9
/Satoshi:0.16.3/,Bitcoin Core,v0.16,v0.16.3,0,18,18
/Satoshi:0.14.2/,Bitcoin Core,v0.14,v0.14.2,0,34,34
/Satoshi:0.14.1/,Bitcoin Core,v0.14,v0.14.1,0,16,16
/Classic:1.3.6/,Bitcoin Classic,,,0,2,2
/Satoshi:0.0.156.64/,Bitcoin Core,v0.0,v0.0.156,1,77,78
/Satoshi:0.12.0/,Bitcoin Core,v0.12,v0.12.0,1,5,6
/Satoshi:0.15.0/,Bitcoin Core,v0.15,v0.15.0,0,15,15
/breadwallet:0.6.7/,bread,,,0,8,8
/Satoshi:0.7.0.3/,Bitcoin Core,v0.7,v0.7.0,0,5,5
/Satoshi:0.8.2.2/,Bitcoin Core,v0.8,v0.8.2,0,7,7
/breadwallet:0.6.8/,bread,,,0,6,6
/Satoshi:0.10.1/,Bitcoin Core,v0.10,v0.10.1,0,7,7
/Satoshi:0.11.2/,Bitcoin Core,v0.11,v0.11.2,1,10,11
/breadwallet:0.6.2/,bread,,,0,9,9
/Satoshi:0.15.0/Knots:20170914/,Bitcoin Knots,v0.15,v0.15.0,0,14,14
/Satoshi:0.16.99/,Bitcoin Core,v0.16,v0.16.99,0,7,7
/Satoshi:0.14.2/UASF-Segwit:1.0/,Bitcoin Core,v0.14,v0.14.2,0,6,6
/breadwallet:0.6.9/,bread,,,0,6,6
/breadwallet:0.6.5/,bread,,,0,6,6
/breadwallet:0.6.6/,bread,,,0,14,14
/Satoshi:0.9.1/,Bitcoin Core,v0.9,v0.9.1,1,11,12
/Satoshi:0.9.2/,Bitcoin Core,v0.9,v0.9.2,0,12,12
/Classic:1.3.4/,Bitcoin Classic,,,0,7,7
