software,version,release_time_utc,github_url
Bitcoin Core,v29.4,2026-07-10T14:25:37Z,https://github.com/bitcoin/bitcoin/releases/tag/v29.4
Bitcoin Core,v31.1,2026-07-08T09:14:15Z,https://github.com/bitcoin/bitcoin/releases/tag/v31.1
Bitcoin Core,v30.3,2026-07-10T09:34:59Z,https://github.com/bitcoin/bitcoin/releases/tag/v30.3
Bitcoin Core,v31.0,2026-04-20T13:21:17Z,https://github.com/bitcoin/bitcoin/releases/tag/v31.0
Bitcoin Core,v28.4,2026-04-06T06:37:17Z,https://github.com/bitcoin/bitcoin/releases/tag/v28.4
Bitcoin Core,v29.3,2026-02-11T11:04:13Z,https://github.com/bitcoin/bitcoin/releases/tag/v29.3
Bitcoin Core,v30.2,2026-01-13T09:36:00Z,https://github.com/bitcoin/bitcoin/releases/tag/v30.2
Bitcoin Core,v30.1,2026-01-02T16:15:41Z,https://github.com/bitcoin/bitcoin/releases/tag/v30.1
Bitcoin Core,v28.3,2025-10-30T13:46:35Z,https://github.com/bitcoin/bitcoin/releases/tag/v28.3
Bitcoin Core,v29.2,2025-10-14T18:30:41Z,https://github.com/bitcoin/bitcoin/releases/tag/v29.2
Bitcoin Core,v30.0,2025-10-13T12:46:30Z,https://github.com/bitcoin/bitcoin/releases/tag/v30.0
Bitcoin Core,v29.1,2025-09-05T09:39:46Z,https://github.com/bitcoin/bitcoin/releases/tag/v29.1
Bitcoin Core,v28.2,2025-06-26T13:42:40Z,https://github.com/bitcoin/bitcoin/releases/tag/v28.2
Bitcoin Core,v29.0,2025-04-15T12:17:09Z,https://github.com/bitcoin/bitcoin/releases/tag/v29.0
Bitcoin Core,v28.1,2025-01-15T10:45:10Z,https://github.com/bitcoin/bitcoin/releases/tag/v28.1
Bitcoin Core,v27.2,2024-11-04T12:21:22Z,https://github.com/bitcoin/bitcoin/releases/tag/v27.2
Bitcoin Core,v28.0,2024-10-05T15:18:54Z,https://github.com/bitcoin/bitcoin/releases/tag/v28.0
Bitcoin Core,v26.2,2024-07-11T09:19:09Z,https://github.com/bitcoin/bitcoin/releases/tag/v26.2
Bitcoin Core,v27.1,2024-06-17T14:52:10Z,https://github.com/bitcoin/bitcoin/releases/tag/v27.1
Bitcoin Core,v27.0,2024-04-16T20:16:23Z,https://github.com/bitcoin/bitcoin/releases/tag/v27.0
Bitcoin Core,v25.2,2024-04-16T19:45:27Z,https://github.com/bitcoin/bitcoin/releases/tag/v25.2
Bitcoin Core,v26.1,2024-04-02T14:11:52Z,https://github.com/bitcoin/bitcoin/releases/tag/v26.1
Bitcoin Core,v26.0,2023-12-07T19:53:00Z,https://github.com/bitcoin/bitcoin/releases/tag/v26.0
Bitcoin Core,v24.2,2023-11-01T09:57:16Z,https://github.com/bitcoin/bitcoin/releases/tag/v24.2
Bitcoin Core,v25.1,2023-10-19T14:46:01Z,https://github.com/bitcoin/bitcoin/releases/tag/v25.1
Bitcoin Core,v25.0,2023-05-26T10:28:38Z,https://github.com/bitcoin/bitcoin/releases/tag/v25.0
Bitcoin Core,v24.1,2023-05-18T15:12:15Z,https://github.com/bitcoin/bitcoin/releases/tag/v24.1
Bitcoin Core,v23.2,2023-05-18T15:11:14Z,https://github.com/bitcoin/bitcoin/releases/tag/v23.2
Bitcoin Core,v23.1,2022-12-21T14:10:47Z,https://github.com/bitcoin/bitcoin/releases/tag/v23.1
Bitcoin Core,v24.0.1,2022-12-12T12:24:02Z,https://github.com/bitcoin/bitcoin/releases/tag/v24.0.1
Bitcoin Core,v22.1,2022-12-15T12:36:01Z,https://github.com/bitcoin/bitcoin/releases/tag/v22.1
