height,block hash,is_spent,patoshi,patoshi_confidence_score
0,000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f,0,1,1.000000
1,00000000839a8e6886ab5951d76f411475428afc90947ee320161bbf18eb6048,0,1,0.906769
2,000000006a625f06636b8bb6ac7b960a8d03705d1ace08b1a19da3fdcc99ddbd,0,1,0.942710
3,0000000082b5015589a3fdf2d4baff403e6f0be035a5d9742c1cae6295464449,0,1,0.945767
4,000000004ebadb55ee9096c9a2f8880e09da59c0d68b1c228da88e48844a1485,0,1,0.979947
5,000000009b7262315dbf071787ad3656097b892abffd1f95a1a022f896f533fc,0,1,0.979462
6,000000003031a0e73735690c5a1ff2a4be82553b2a12b776fbd3a215dc8f778d,0,1,0.977211
7,0000000071966c2b1d065fd446b1e485b2c9d9594acd2007ccbd5441cfc89444,0,1,0.962453
8,00000000408c48f847aa786c2268fc3e6ec2af68e8468a34a28c61b7f1de0dc6,0,1,0.969279
9,000000008d9dc510f23c2657fc4f67bea30078cc05a90eb89e84cc475c080805,1,1,1.000000
10,000000002c05cc2e78923c34df87fd108b22221ac6076c18f3ade378a4d915e9,0,1,0.972396
11,0000000097be56d606cdd9c54b04d4747e957d3608abe69198c661f2add73073,0,1,0.963969
12,0000000027c2488e2510d1acf4369787784fa20ee084c258b58d9fbd43802b5e,0,0,
13,000000005c51de2031a895adc145ee2242e919a01c6d61fb222a54a54b4d3089,0,1,0.973929
14,0000000080f17a0c5a67f663a9bc9969eb37e81666d9321125f0e293656f8a37,0,1,0.966726
15,00000000b3322c8c3ef7d2cf6da009a776e6a99ee65ec5a32f3f345712238473,0,1,0.886142
16,00000000174a25bb399b009cc8deff1c4b3ea84df7e93affaaf60dc3416cc4f5,0,1,0.959749
17,000000003ff1d0d70147acfbef5d6a87460ff5bcfce807c2d5b6f0a66bfdf809,0,1,0.913191
18,000000008693e98cf893e4c85a446b410bb4dfa129bd1be582c09ed3f0261116,0,1,0.895138
19,00000000841cb802ca97cf20fb9470480cae9e5daa5d06b4a18ae2d5dd7f186f,0,1,0.923941
20,0000000067a97a2a37b8f190a17f0221e9c3f4fa824ddffdc2e205eae834c8d7,0,1,0.938218
21,000000006f016342d1275be946166cff975c8b27542de70a7113ac6d1ef3294f,0,1,0.936087
22,0000000098b58d427a10c860335a21c1a9a7639e96c3d6f1a03d8c8c885b5e3b,0,1,0.963759
23,000000000cd339982e556dfffa9de94744a4135c53eeef15b7bcc9bdeb9c2182,0,1,0.959411
24,00000000fc051fbbce89a487e811a5d4319d209785ea4f4b27fc83770d1e415f,0,1,0.984572
25,000000008e35a1d59ea1be8d76683662f47fd13c62a9e347ad5845a26f762026,0,1,0.983145
26,0000000041438e52d25bccab8798a92cabafdaad69a071d3d2a41718faf01098,0,0,
27,0000000071350772f98f84babf35502b33d42ee8466d3dde0f376c4120352081,0,0,
28,00000000bb0d9430d3d1bab474be5050342161efcca9f7e45b151bff9a700944,0,1,0.512743
29,00000000c57a1b6351208c592eef8eff015d93c899a047fe35b35252a4a59bcb,0,1,0.882001
30,00000000bc919cfb64f62de736d55cf79e3d535b474ace256b4fbb56073f64db,0,1,0.933084
31,000000009700ff3494f215c412cd8c0ceabf1deb0df03ce39bcfc223b769d3c4,0,1,0.977416
32,00000000e5cb7c6c273547b0c9421b01e23310ed83f934b96270f35a4d66f6e3,0,1,0.981531
33,00000000a87073ea3d7af299e02a434598b9c92094afa552e0711afcc0857962,0,1,0.982610
34,00000000a73fb23b6c42b18b3253ed29c5d0c80d84624efa12c2cf05c4b4318f,0,1,0.983688
35,00000000b572a465b4e816420d47a16274557b3573b7924b64808a82c7322d9b,0,1,0.990033
36,00000000f824d643f525b4904ea25c92174b8499435f388549a1700f4d3244de,0,1,0.990937
37,00000000ddd96d128e122d1179034ff66c27dc583eb9e8996a0b1779c60c6f86,0,1,0.989603
38,000000007c19ee8e924d3024d58efff50f872aadf256140bb1e3d62fea4fd6dd,0,1,0.464999
39,000000005665d506f6c3ccb5fd98624f9816a8a169f1d2327d1d4d6d3262ad12,0,1,0.743898
40,00000000b2f01f399bf503e55f25a1aa51067056d2eb81915cb91976968b69aa,0,1,0.942498
41,00000000ad2b48c7032b6d7d4f2e19e54d79b1c159f5599056492f2cd7bb528b,0,1,0.910375
42,00000000314e90489514c787d615cea50003af2023796ccdd085b6bcc1fa28f5,0,1,0.924379
43,00000000ac21f2862aaab177fd3c5c8b395de842f84d88c9cf3420b2d393e550,0,1,0.928026
44,000000002978eecde8d020f7f057083bc990002fff495121d7dc1c26d00c00f8,0,1,0.945254
45,000000009189006e461d2f4037a819d00217412ac01900ddbf09461100b836bb,0,1,0.956449
46,0000000002d5f429a2e3a9d9f82b777469696deb64038803c87833aa8ee9c08e,0,1,0.884848
47,000000001a5c4531f86aa874e711e1882038336e2610f70ce750cdd690c57a81,0,1,0.975286
48,0000000088960278f4060b8747027b2aac0eb443aedbb1b75d1a72cf71826e89,0,1,0.974902
49,00000000f067c09041ff0fcee3d91aeb7fbcc5654d3f766af2b4377aaee68d00,0,1,0.970880
50,0000000026f34d197f653c5e80cb805e40612eadb0f45d00d7ea4164a20faa33,0,1,0.973839
51,000000001c511e00d1e6825c912988a3695ab2758fdbb6c7ee58da1da4fb2d63,0,1,0.966219
52,00000000d6c655f23e71b4210ae3c5d931d76257093ab1e5ced88c52739296b5,0,1,0.973617
53,00000000fcde3f3306f4167634b51e24414900d7539cb4237f3f060cf26fba05,0,1,0.990798
54,000000004ee00fc37a68592cf22415b37e6618227249fe308d0703cca1dd745b,0,1,0.990466
55,0000000046438b8d5beb6c9efc503dfec538927d2584d2447538276e687a5283,0,1,0.971841
56,00000000f093cf2c5865f2bb851d5fa65ff1794b02fea4b0d90ff451e6e5d1c0,0,1,0.980748
57,000000004ff375707d7128dd2b080da4185727d534ea1b0aeac5877e00547391,0,1,0.966292
58,0000000075b4df54f33c4e60cf88c5dd6a6455f16f4fbe220ae81e157ce32ef1,0,1,0.979544
59,000000000f7171e53e5f037b70ae6a30d2fa6c1a9e019aa3dae242180baea54a,0,1,0.983339
60,00000000c47a58b89434bd7c7af8334b366f713330dfb89119d67d79424d2cdf,0,1,0.978946
61,000000002973d6cb9371b8db0fe6a16a98dfac07c0aa9207c1cfc967b35290c4,0,1,0.971692
62,0000000042fe934de30881dcecc5af1c80b5a083030e37d71806e7fc1e8ca02a,0,1,0.978971
63,00000000ebff91c88984bff39511f544a1c4ef6ec4f33e2ea531e47c2685628e,0,1,0.980571
64,0000000031975f17c5642a9c7e53ae4201a70a6ba6363036b55497b8754d1866,0,0,
65,00000000aae47d47b6ff5eda6abab09cd6720684b1368eac70ac4240b3c90250,0,1,0.982853
66,0000000063d334becd1f17db9b6ccf570805caeed92d37d3d67b48e3685e760d,0,1,0.979461
67,00000000cd9c854b176413d6d344d6238426539fe1525b9a88a06e5d8a2df72b,0,1,0.981948
68,00000000bfafa874eff9ea7ec32c26499bd2580718daa33fb5dd7710db2c814c,0,1,0.973208
69,00000000ddaccd89104a83b0a28e1987a88d8f51829029cb7e18630e2575e939,0,1,0.976947
70,00000000ba63ae2eeb3d2371708291b90507c3317ef957f6fcba3811cc4fe0cc,0,1,0.970638
