timestamp,extranonce,patoshi
1231469665,4,1
1231469744,11,1
1231470173,14,1
1231470988,26,1
1231471428,32,1
1231471789,35,1
1231472369,43,1
1231472743,44,1
1231473279,52,1
1231473952,54,1
1231474360,59,1
1231474888,12,0
1231475020,60,1
1231475589,62,1
1231562746,10,1
1231562758,11,1
1231563791,13,1
1231564334,18,1
1231564974,22,1
1231565995,32,1
1231566553,37,1
1231567467,48,1
1231567611,49,1
1231568277,63,1
1231568646,65,1
1231570450,5,0
1231570573,16,0
1231601457,9,1
1231601503,13,1
1231602122,33,1
1231602736,41,1
1231603171,54,1
1231603939,56,1
1231604338,71,1
1231605153,77,1
1231605789,80,1
1231606762,87,1
1231607488,7,1
1231607511,9,1
1231608208,14,1
1231608903,18,1
1231609153,21,1
1231609477,22,1
1231610361,30,1
1231611068,33,1
1231611793,36,1
1231612888,48,1
1231613140,55,1
1231613802,58,1
1231614698,63,1
1231615503,68,1
1231616363,86,1
1231617190,97,1
1231617386,98,1
1231618509,115,1
1231618848,116,1
1231619676,122,1
1231620564,130,1
1231620928,131,1
1231621959,140,1
1231622445,146,1
1231623224,148,1
1231623880,159,1
1231624107,6,0
1231624503,161,1
1231625020,167,1
1231626072,173,1
1231626618,180,1
1231626979,181,1
1231627646,188,1
1231628459,198,1
1231629194,199,1
1231630288,1,1
1231631189,3,1
1231631822,4,1
1231632554,11,1
1231633184,14,1
1231635654,15,0
1231645607,3,1
1231646077,4,1
1231646456,5,1
1231647491,11,1
1231648583,16,1
1231649497,21,1
1231650483,25,1
1231650986,26,1
1231651888,32,1
1231652408,33,1
1231653209,34,1
1231653550,35,1
1231654229,42,1
1231654561,47,1
1231655037,48,1
1231655581,50,1
1231656204,55,1
1231657185,58,1
1231658068,62,1
1231659133,67,1
1231660146,69,1
1231660825,77,1
1231661741,78,1
1231662670,84,1
1231663467,85,1
1231664009,111,1
1231664567,121,1
1231665565,122,1
1231666285,135,1
1231667222,138,1
1231667774,143,1
1231668739,164,1
1231669673,167,1
1231670137,170,1
1231670975,171,1
