balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2506271,39077131,334869533281983,2511630,39077131,334869533281983,6319.81
all,All,all,59165883,166120624,2004987301462428,16182820,102600493,703196406482519,20321.42
all,All,inactive,8155308,54322024,180498143977416,8158801,54322024,180498143977416,11925.51
all,All,never_spent,48504304,72721469,1489619624203029,5512389,9201338,187828729223120,2076.10
all,Other,active,8,8,56000,8,8,56000,0.00
all,Other,all,2507888,2731378,268838054971,2415742,2441353,6026304750,1043.75
all,Other,inactive,1959,3793,463890293,1960,3793,463890293,1.54
all,Other,never_spent,2505921,2727577,268374108678,2413774,2437552,5562358457,1042.20
all,P2PK,active,3,15,110000,3,15,110000,0.01
all,P2PK,all,37660,44630,171591953344998,37674,44629,171591953344998,16.70
all,P2PK,inactive,330,6940,23708222187,339,6940,23708222187,2.53
all,P2PK,never_spent,37327,37675,171568245012811,37332,37674,171568245012811,14.16
all,P2PKH,active,209370,3256837,40589924685301,209496,3256837,40589924685301,1256.78
all,P2PKH,all,21284655,44431481,461174452435623,3989446,17500157,119407045199838,6880.12
all,P2PKH,inactive,3707155,14031653,78747386114298,3707233,14031653,78747386114298,5540.91
all,P2PKH,never_spent,17368130,27142991,341837141636024,72717,211667,69734400239,82.43
all,P2SH,active,192660,1711716,71971849059590,195568,1711716,71971849059590,710.74
all,P2SH,all,6260185,12171690,394652958369565,1156912,5665960,130031614581687,2409.85
all,P2SH,inactive,958864,3954244,58059765522097,961344,3954244,58059765522097,1699.11
all,P2SH,never_spent,5108661,6505730,264621343787878,0,0,0,0.00
all,P2TR,active,666442,22667546,4465265414449,666442,22667546,4465265414449,2818.11
all,P2TR,all,4937408,54430866,21216527935106,4937408,54430866,21216527935106,6917.19
all,P2TR,inactive,1252981,25255381,608189347109,1252981,25255381,608189347109,3162.80
all,P2TR,never_spent,3017985,6507939,16143073173548,3017985,6507939,16143073173548,936.29
all,P2WPKH,active,1392199,11182051,165778658987850,1392293,11182051,165778658987850,1482.76
all,P2WPKH,all,22959265,49458275,816263777892146,3586899,22131795,192167867714509,2972.08
all,P2WPKH,inactive,2189781,10943238,26347094448594,2189828,10943238,26347094448594,1488.29
all,P2WPKH,never_spent,19377285,27332986,624138024455702,4778,6506,42114278065,1.03
all,P2WSH,active,45589,258958,52063834968793,48062,258958,52063834968793,51.41
all,P2WSH,all,1178822,2852304,139818793430019,93318,385733,68775371401631,81.73
all,P2WSH,inactive,44238,126775,16711536432838,45256,126775,16711536432838,30.32
all,P2WSH,never_spent,1088995,2466571,71043422028388,0,0,0,0.00
ge1,All,active,40280,4923387,330157612695229,45639,4923387,330157612695229,1347.72
ge1,All,all,978974,11125947,1863492181248423,161011,7637165,687419713448914,2112.37
ge1,All,inactive,66136,2382490,171263184590977,69629,2382490,171263184590977,695.06
ge1,All,never_spent,872558,3820070,1362071383962217,45743,331288,185998916162708,69.59
ge1,Other,all,5,197330,263358586311,9,10,598014231,0.00
ge1,Other,inactive,1,6,202304590,2,6,202304590,0.00
ge1,Other,never_spent,4,197324,263156281721,7,4,395709641,0.00
ge1,P2PK,all,34295,34392,171577432237139,34309,34391,171577432237139,12.84
ge1,P2PK,inactive,9,9,23264000000,18,9,23264000000,0.00
ge1,P2PK,never_spent,34286,34383,171554168237139,34291,34382,171554168237139,12.83
ge1,P2PKH,active,5759,2308833,39917080788797,5885,2308833,39917080788797,884.55
ge1,P2PKH,all,227434,4831535,430078587597445,71249,3580103,113981925488561,1372.85
ge1,P2PKH,inactive,31054,1195446,74002918576272,31132,1195446,74002918576272,459.25
ge1,P2PKH,never_spent,190621,1327256,316158588232376,34232,75824,61926123492,29.04
ge1,P2SH,active,5745,507225,71518439600036,8653,507225,71518439600036,196.44
ge1,P2SH,all,192644,1230173,370741724325827,22643,813578,128404914748081,320.81
ge1,P2SH,inactive,11510,306353,56886475148045,13990,306353,56886475148045,124.37
ge1,P2SH,never_spent,175389,416595,242336809577746,0,0,0,0.00
ge1,P2TR,active,1357,209680,4293930290779,1357,209680,4293930290779,25.85
ge1,P2TR,all,13129,782788,19097522511812,13129,782788,19097522511812,96.88
ge1,P2TR,inactive,419,352310,455359661817,419,352310,455359661817,43.35
ge1,P2TR,never_spent,11353,220798,14348232559216,11353,220798,14348232559216,27.67
ge1,P2WPKH,active,26375,1811761,162468523222156,26469,1811761,162468523222156,231.28
ge1,P2WPKH,all,482044,3730173,734935216848806,49275,2332957,185723784206628,298.50
ge1,P2WPKH,inactive,22702,520916,23221067451252,22749,520916,23221067451252,67.18
ge1,P2WPKH,never_spent,432967,1397496,549245626175398,57,280,34193533220,0.04
ge1,P2WSH,active,1044,85888,51959638793461,3517,85888,51959638793461,9.60
ge1,P2WSH,all,29423,319556,136798339141083,4976,93338,68633536242462,10.50
ge1,P2WSH,inactive,441,7450,16673897449001,1459,7450,16673897449001,0.90
ge1,P2WSH,never_spent,27938,226218,68164802898621,0,0,0,0.00
ge10,All,active,8186,1177187,321578610144324,10056,1177187,321578610144324,247.98
ge10,All,all,150333,2847443,1658253706866848,55865,1734579,661180097172513,437.66
ge10,All,inactive,9231,441820,156288441661410,10113,441820,156288441661410,147.24
ge10,All,never_spent,132916,1228436,1180386655061114,35696,115572,183313045366779,42.44
ge10,Other,all,1,197320,262760572080,0,0,0,0.00
ge10,Other,never_spent,1,197320,262760572080,0,0,0,0.00
ge10,P2PK,all,34210,34235,171553806524445,34211,34234,171553806524445,12.77
ge10,P2PK,inactive,7,7,22364000000,9,7,22364000000,0.00
ge10,P2PK,never_spent,34203,34228,171531442524445,34202,34227,171531442524445,12.77
ge10,P2PKH,active,1322,240921,38624898559979,1353,240921,38624898559979,92.33
ge10,P2PKH,all,36228,1203044,381476749581626,40522,588648,105593798320419,225.74
ge10,P2PKH,inactive,4958,272351,66925041804001,4978,272351,66925041804001,104.53
ge10,P2PKH,never_spent,29948,689772,275926809217646,34191,75376,43857956439,28.87
ge10,P2SH,active,1318,174034,70233476443477,2124,174034,70233476443477,59.35
ge10,P2SH,all,24334,332784,327392157180315,4603,248475,124511965163616,89.86
ge10,P2SH,inactive,1859,74441,54278488720139,2479,74441,54278488720139,30.50
ge10,P2SH,never_spent,21157,84309,202880192016699,0,0,0,0.00
ge10,P2TR,active,265,20287,4001092709829,265,20287,4001092709829,2.51
ge10,P2TR,all,1801,26721,16082146750829,1801,26721,16082146750829,3.37
ge10,P2TR,inactive,54,479,359913365230,54,479,359913365230,0.06
ge10,P2TR,never_spent,1482,5955,11721140675770,1482,5955,11721140675770,0.80
ge10,P2WPKH,active,4882,695014,156933540077082,4922,695014,156933540077082,88.49
ge10,P2WPKH,all,48203,989425,630841797959894,7185,786101,175086947162559,100.16
ge10,P2WPKH,inactive,2249,91073,18136802875352,2259,91073,18136802875352,11.67
ge10,P2WPKH,never_spent,41072,203338,455771455007460,4,14,16604210125,0.00
ge10,P2WSH,active,399,46931,51785602353957,1491,46931,51785602353957,5.30
ge10,P2WSH,all,5556,63914,130644288297659,1857,50400,68351433250645,5.77
ge10,P2WSH,inactive,104,3469,16565830896688,366,3469,16565830896688,0.47
ge10,P2WSH,never_spent,5053,13514,62292855047014,0,0,0,0.00
ge100,All,active,2739,307451,306171012186749,3604,307451,306171012186749,89.89
ge100,All,all,20049,1169931,1234912688828155,5490,453325,450904756955880,141.69
ge100,All,inactive,1366,145131,135316999625054,1721,145131,135316999625054,51.69
ge100,All,never_spent,15944,717349,793424677016352,165,743,9416745144077,0.10
ge100,Other,all,1,197320,262760572080,0,0,0,0.00
ge100,Other,never_spent,1,197320,262760572080,0,0,0,0.00
ge100,P2PK,all,24,26,1024621000000,24,26,1024621000000,0.01
ge100,P2PK,never_spent,24,26,1024621000000,24,26,1024621000000,0.01
ge100,P2PKH,active,308,141948,35680565174627,325,141948,35680565174627,54.38
ge100,P2PKH,all,5109,711556,298338814579609,1084,245430,91033370260929,94.05
ge100,P2PKH,inactive,732,103482,55352805086302,735,103482,55352805086302,39.67
ge100,P2PKH,never_spent,4069,466126,207305444318680,24,0,0,0.00
ge100,P2SH,active,322,74407,67445848148036,670,74407,67445848148036,24.12
ge100,P2SH,all,4053,116450,274256287478789,1185,97780,117604926591259,33.79
ge100,P2SH,inactive,285,23373,50159078443223,515,23373,50159078443223,9.67
ge100,P2SH,never_spent,3446,18670,156651360887530,0,0,0,0.00
ge100,P2TR,active,43,610,3403197253085,43,610,3403197253085,0.08
ge100,P2TR,all,195,1383,12033644071263,195,1383,12033644071263,0.18
ge100,P2TR,inactive,11,56,238322674101,11,56,238322674101,0.01
ge100,P2TR,never_spent,141,717,8392124144077,141,717,8392124144077,0.09
ge100,P2WPKH,active,1884,74600,148587740352463,1904,74600,148587740352463,9.56
ge100,P2WPKH,all,9323,121182,532595693491688,2193,91050,161777035925854,11.66
ge100,P2WPKH,inactive,288,16450,13189295573391,289,16450,13189295573391,2.10
ge100,P2WPKH,never_spent,7151,30132,370818657565834,0,0,0,0.00
ge100,P2WSH,active,182,15886,51053661258538,707,15886,51053661258538,1.76
ge100,P2WSH,all,1344,22014,116400867634726,882,17656,67431159106575,2.00
ge100,P2WSH,inactive,50,1770,16377497848037,175,1770,16377497848037,0.25
ge100,P2WSH,never_spent,1112,4358,48969708528151,0,0,0,0.00
ge1000,All,active,381,99006,230630876053537,690,99006,230630876053537,29.60
ge1000,All,all,2033,415836,719063459479951,1133,181862,340823603828354,60.05
ge1000,All,inactive,247,82729,104344869385271,426,82729,104344869385271,30.43
ge1000,All,never_spent,1405,234101,384087714041143,17,127,5847858389546,0.02
ge1000,Other,all,1,197320,262760572080,0,0,0,0.00
ge1000,Other,never_spent,1,197320,262760572080,0,0,0,0.00
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,51,51049,28174007414945,58,51049,28174007414945,19.55
ge1000,P2PKH,all,606,148035,184302962572889,195,122345,67100061576846,46.87
ge1000,P2PKH,inactive,136,71296,38926054161901,136,71296,38926054161901,27.31
ge1000,P2PKH,never_spent,419,25690,117202900996043,1,0,0,0.00
ge1000,P2SH,active,80,13777,59759366430020,226,13777,59759366430020,5.71
ge1000,P2SH,all,392,23875,162271906240879,464,19743,104715769367892,8.13
ge1000,P2SH,inactive,84,5966,44956402937872,238,5966,44956402937872,2.42
ge1000,P2SH,never_spent,228,4132,57556136872987,0,0,0,0.00
ge1000,P2TR,active,12,448,2765253423795,12,448,2765253423795,0.06
ge1000,P2TR,all,28,574,8289794813341,28,574,8289794813341,0.07
ge1000,P2TR,never_spent,16,126,5524541389546,16,126,5524541389546,0.02
ge1000,P2WPKH,active,182,31540,93385464456347,189,31540,93385464456347,4.01
ge1000,P2WPKH,all,834,43451,284684807922390,206,36933,98995105455390,4.70
ge1000,P2WPKH,inactive,17,5393,5609640999043,17,5393,5609640999043,0.69
ge1000,P2WPKH,never_spent,635,6518,185689702467000,0,0,0,0.00
ge1000,P2WSH,active,56,2192,46546784328430,217,2192,46546784328430,0.27
ge1000,P2WSH,all,171,2580,78927910358372,252,2266,61399555614885,0.28
ge1000,P2WSH,inactive,10,74,14852771286455,35,74,14852771286455,0.01
ge1000,P2WSH,never_spent,105,314,17528354743487,0,0,0,0.00
